"quiz_question_id","quiz_id","question_id","question_order","params"
"236","22769","22773","6",NULL
"237","22769","22770","7",NULL
"238","22769","22775","8",NULL
"239","22769","22789","9",NULL
"240","22769","22793","10",NULL
"241","22769","22808","11",NULL
"242","22797","22796","1",NULL
"243","22797","22804","2",NULL
"244","22797","22806","3",NULL
"245","22797","22810","4",NULL
"246","22797","22812","5",NULL
"247","22656","22731","11",NULL
"248","22737","22819","1",NULL
"249","22737","22821","2",NULL
"250","22737","22824","3",NULL
"251","22737","22827","4",NULL
"252","22914","22960","1",NULL
"253","22914","22965","2",NULL
"254","22914","22969","3",NULL
"255","22914","22979","4",NULL
"256","22914","22978","5",NULL
"257","22914","22975","6",NULL
"258","22914","22984","7",NULL
"259","22914","22992","8",NULL
"260","22914","22990","9",NULL
"261","22914","22996","10",NULL
"262","22914","23002","11",NULL
"263","22914","23005","12",NULL
"264","22914","23008","13",NULL
"265","22914","23012","14",NULL
"266","22914","23016","15",NULL
"267","22914","23021","16",NULL
"268","22914","23023","17",NULL
"269","22914","23027","18",NULL
"270","22914","23031","19",NULL
"271","22914","23033","20",NULL
"272","22914","23046","25",NULL
"273","22914","23044","24",NULL
"274","22914","23039","22",NULL
"275","22914","23037","21",NULL
"276","22914","23041","23",NULL
"451","22900","23862","1",NULL
"450","22904","23849","9",NULL
"449","22904","23852","8",NULL
"448","22904","23847","7",NULL
"447","22904","23844","6",NULL
"446","22904","23841","5",NULL
"444","22904","23839","4",NULL
"443","22904","23836","3",NULL
"442","22904","23833","2",NULL
"441","22904","23831","1",NULL
"287","22887","23104","1",NULL
"288","22887","23108","2",NULL
"289","22887","23148","3",NULL
"290","22887","23151","4",NULL
"291","22887","23155","5",NULL
"292","22887","23156","6",NULL
"293","22887","23159","7",NULL
"294","22887","23153","8",NULL
"295","23208","23210","1",NULL
"296","23208","23215","2",NULL
"297","23208","23223","3",NULL
"298","23208","23227","4",NULL
"299","23208","23231","5",NULL
"300","23208","23233","6",NULL
"301","23208","23236","7",NULL
"302","23208","23239","8",NULL
"303","23208","23241","9",NULL
"304","23208","23243","10",NULL
"305","23259","23262","1",NULL
"306","23259","23264","2",NULL
"307","23259","23271","3",NULL
"308","23259","23274","4",NULL
"309","23259","23276","5",NULL
"310","23259","23278","6",NULL
"311","23259","23280","7",NULL
"312","23259","23282","8",NULL
"313","23259","23284","9",NULL
"314","23259","23286","10",NULL
"315","23202","23294","1",NULL
"316","23202","23296","2",NULL
"317","23202","23299","3",NULL
"318","23202","23311","7",NULL
"319","23202","23308","6",NULL
"320","23202","23313","8",NULL
"321","23202","23317","10",NULL
"322","23202","23305","5",NULL
"323","23202","23315","9",NULL
"324","23202","23303","4",NULL
"325","23325","23327","1",NULL
"326","23325","23329","2",NULL
"327","23325","23331","3",NULL
"328","23325","23333","4",NULL
"329","23325","23337","5",NULL
"330","23325","23339","6",NULL
"331","23325","23341","7",NULL
"332","23325","23343","8",NULL
"333","23325","23346","9",NULL
"334","23325","23349","10",NULL
"335","23371","23373","3",NULL
"336","23371","23375","4",NULL
"337","23371","23377","2",NULL
"338","23371","23380","9",NULL
"339","23371","23382","1",NULL
"340","23371","23384","5",NULL
"341","23371","23386","6",NULL
"342","23371","23388","7",NULL
"343","23371","23391","8",NULL
"344","23371","23394","10",NULL
"345","22895","23404","1",NULL
"346","22895","23406","2",NULL
"347","22895","23408","3",NULL
"348","22895","23412","4",NULL
"349","22895","23414","5",NULL
"350","22895","23417","6",NULL
"351","22895","23422","7",NULL
"352","22895","23424","8",NULL
"353","22895","23426","9",NULL
"354","22895","23428","10",NULL
"355","22895","23438","11",NULL
"356","22895","23440","12",NULL
"357","22895","23442","13",NULL
"358","22895","23444","14",NULL
"359","22895","23446","15",NULL
"360","22895","23449","16",NULL
"361","22895","23451","17",NULL
"362","22895","23453","18",NULL
"363","22895","23455","19",NULL
"364","22895","23457","20",NULL
"365","22895","23469","21",NULL
"366","22895","23471","22",NULL
"367","22895","23473","23",NULL
"368","22895","23475","24",NULL
"369","22895","23477","25",NULL
"370","22895","23479","26",NULL
"371","22895","23481","27",NULL
"372","22895","23483","28",NULL
"373","22895","23485","29",NULL
"374","22895","23487","30",NULL
"375","22895","23489","31",NULL
"376","22884","23510","1",NULL
"377","22884","23512","2",NULL
"378","22884","23514","3",NULL
"379","22884","23516","4",NULL
"380","22884","23518","5",NULL
"381","22884","23520","6",NULL
"382","22884","23522","7",NULL
"383","22884","23525","8",NULL
"384","22884","23528","9",NULL
"385","22884","23530","10",NULL
"386","22885","23532","1",NULL
"387","22885","23534","2",NULL
"388","22885","23536","3",NULL
"389","22885","23538","4",NULL
"390","22885","23540","5",NULL
"391","22885","23542","6",NULL
"392","22885","23544","7",NULL
"393","22885","23546","8",NULL
"394","22885","23548","9",NULL
"395","22885","23550","10",NULL
"396","22885","23552","11",NULL
"397","23560","23561","1",NULL
"398","23560","23563","2",NULL
"399","23560","23566","3",NULL
"400","23560","23568","4",NULL
"401","23560","23571","5",NULL
"402","23560","23573","6",NULL
"403","23560","23575","7",NULL
"404","23560","23577","8",NULL
"405","23560","23579","9",NULL
"406","23560","23581","10",NULL
"407","22915","23604","1",NULL
"408","22915","23615","2",NULL
"409","22915","23618","3",NULL
"410","22915","23622","4",NULL
"411","22915","23625","5",NULL
"412","22915","23628","6",NULL
"413","22915","23631","7",NULL
"414","22915","23633","8",NULL
"415","22915","23636","9",NULL
"416","22915","23639","10",NULL
"417","22915","23641","11",NULL
